1482699735830 R
1482699739961 0 1
1482699741786 7 1
1482699743289 8 -2
1482699744666 9 -1
1482699745604 0 1
1482699760396 3 2
1482699761730 2 1
1482699762613 4 1
1482699764914 10 2
1482699766885 7 2
1482699770442 5 -1
1482699771743 10 -1
1482699773026 12 -1
1482699783165 4 -1
1482699784109 0 -2
1482699785014 9 1
1482699785868 1 -1
1482699787261 8 1
1482699789339 0 1
1482699794022 4 1
1482699795829 10 3
1482699798557 10 -3
1482699799989 10 3
1482699801185 9 1
1482699802455 9 -1
1482699803323 10 -3
1482699804256 8 -1
1482699805377 9 -1
1482699806557 10 3
1482699807557 0 1
1482699810117 10 -3
1482699818560 12 1
1482699819673 5 1
1482699824695 R
1482699833757 8 -1
1482699834894 12 -1
1482699835442 5 -1
1482699838213 3 2
1482699839293 6 2
1482699842641 0 1
1482699843687 6 -2
1482699844473 2 1
1482699845253 4 1
1482699846903 10 4
1482699848416 0 -1
1482699851299 2 -2
1482699859750 2 2
1482699860256 4 -1
1482699861088 0 1
1482699867437 7 3
1482699868485 8 -1
1482699871893 9 -1
1482699876063 4 1
1482699877364 0 1
1482699879589 10 -3
1482699880337 5 1
1482699881297 12 1
1482699884886 7 -2
1482699889879 10 -1
1482699891589 2 -1
1482699893974 4 -1
1482699894953 3 -2
1482699900368 5 -1
1482699901154 12 -1
1482699908257 3 2
1482699909083 4 1
1482699909793 2 1
1482699910802 5 1
1482699913673 12 1
1482699916146 10 2
1482699917394 7 2
1482699918686 1 -1
1482699926334 5 -1
1482699928425 0 -2
1482699929157 9 1
1482699930237 8 1
1482699931084 1 1
1482699931844 0 1
1482699933422 12 -1
1482699936497 10 -1
1482699939646 7 -3
1482699946297 10 3
1482699947393 9 1
1482699951638 2 -1
1482699955581 9 -1
1482699956378 4 -1
1482699957401 3 -2
1482699961235 3 2
1482699961938 2 1
1482699962809 4 1
1482699965873 7 3
1482699966822 0 -1
1482699967824 9 1
1482699969024 1 -1
1482699970604 2 -3
1482699976337 2 3
1482699978538 9 -1
1482699979505 10 -3
1482699985558 9 1
1482699986563 5 1
1482699987522 12 1
