1481485811756 R
1481485822996 0 1
1481485824372 0 -1
1481485828771 0 1
1481485833725 0 -1
1481485835292 0 1
1481485849742 R
1481485851953 0 1
1481485870907 0 -1
1481485875965 0 1
1481485877844 0 -1
1481485878562 0 1
1481485904638 7 1
1481485905721 7 -1
1481485909507 7 1
1481485911239 8 -2
1481485913635 9 -1
1481485915080 0 1
1481485917075 5 -1
1481485918285 5 1
1481485922526 5 -1
1481485923863 12 -1
1481485941947 0 -1
1481485943648 9 1
1481485945351 8 1
1481485946908 7 -1
1481485948017 0 -1
1481485957557 12 1
1481485959342 12 -1
1481485960496 12 1
1481485961557 5 1
1481485962592 8 2
1481485969967 0 1
1481485971364 7 1
1481485973398 8 -3
1481485975262 9 -1
1481485976236 0 1
1481485980255 5 -1
1481485983432 3 2
1481485984407 4 1
1481485985221 2 1
1481485990576 10 3
1481485992383 0 -1
1481485994681 0 1
1481485998544 0 -1
1481486002833 7 2
1481486004254 0 -1
1481486005955 2 -2
1481486008316 2 2
1481486010368 10 -2
1481486013154 4 -2
1481486014601 11 -1
1481486015757 3 -1
1481486017080 12 2
1481486026237 0 1
1481486028429 7 -2
1481486030449 10 -1
1481486032679 2 -1
1481486033812 3 -1
1481486042569 3 1
1481486045876 6 1
1481486051937 5 1
1481486055664 5 -1
1481486057942 6 -1
1481486059316 2 1
1481486073301 10 1
1481486076358 7 2
1481486077863 0 -1
1481486080102 0 1
1481486081848 0 -1
1481486084252 0 1
1481486086079 5 1
1481486093060 7 -2
1481486093898 10 -1
1481486095452 10 1
1481486096503 7 2
1481486097507 1 -1
1481486100784 5 -1
1481486101982 5 1
1481486104507 12 -3
1481486108015 5 -1
1481486110324 11 1
1481486111029 3 1
1481486111959 4 2
1481486115934 9 2
1481486123632 7 -1
1481486134618 9 -2
1481486135548 0 1
1481486156819 0 -1
1481486166632 10 3
1481486167730 4 -2
1481486171765 7 1
1481486173033 0 -1
1481486174350 2 -3
1481486178887 11 -3
1481486180132 3 -2
1481486182889 4 1
1481486188989 9 1
1481486189942 8 1
1481486194306 2 1
1481486197125 1 1
1481486209794 3 2
1481486210971 4 1
1481486213002 9 1
1481486216382 9 -1
1481486217473 10 -1
1481486219071 12 2
1481486226437 12 -2
1481486229513 10 1
1481486230413 4 -1
1481486231443 3 -2
1481486239157 1 -1
1481486241080 2 -1
1481486245553 2 1
1481486246696 2 -1
1481486248705 2 1
1481486250306 1 1
1481486253603 1 -1
1481486255056 8 -1
1481486258327 2 -1
1481486262271 2 1
1481486268016 9 -1
1481486269744 4 -1
1481486271078 4 1
1481486273897 9 1
1481486274843 8 1
1481486276869 8 -1
1481486278417 9 -1
1481486282363 4 -1
1481486284327 3 2
1481486285623 4 2
1481486291376 2 -1
1481486294854 4 -2
1481486295808 11 3
1481486298039 4 2
1481486299955 2 3
1481486301109 0 2
1481486303131 7 -1
1481486311645 2 -1
1481486312584 4 -1
1481486313724 3 -2
1481486317570 7 1
1481486319953 7 -1
1481486321338 7 1
1481486332696 0 -2
1481486341085 4 -1
1481486342061 11 -1
1481486344371 11 1
1481486346451 2 -2
1481486349015 11 -3
1481486356739 3 2
1481486357885 4 2
1481486362192 4 -2
1481486364937 11 3
1481486366204 4 2
1481486369638 2 3
1481486373023 0 2
1481486375961 7 -1
1481486379841 2 -1
1481486380753 4 -1
1481486381756 3 -2
1481486388508 1 1
1481486389388 7 -1
1481486401183 0 -1
1481486402974 4 -1
1481486404989 4 1
1481486408703 4 -1
1481486409805 11 -1
1481486414101 7 2
1481486415050 0 -1
1481486425223 3 2
1481486427354 3 -2
1481486437454 11 1
1481486438577 4 1
1481486439955 0 2
1481486442885 7 -2
