1482001988431 R
1482001992721 8 1
1482001994020 8 -2
1482001999940 5 -1
1482002001457 12 -1
1482002015298 3 2
1482002017077 4 1
1482002018632 2 1
1482002032307 10 4
1482002040071 0 1
1482002045415 2 -1
1482002047207 4 -1
1482002051686 U
1482002052823 R
1482002062516 2 -1
1482002065163 3 2
1482002070762 6 2
1482002073471 2 1
1482002076926 2 -1
1482002081991 8 1
1482002088330 2 1
1482002089778 0 1
1482002090965 7 1
1482002096214 6 -2
1482002097513 2 1
1482002098534 4 1
1482002103358 8 -3
1482002106138 9 -1
1482002108075 5 -1
1482002109291 12 -1
1482002120342 9 2
1482002123547 8 1
1482002125064 1 1
1482002126734 7 -1
1482002128549 0 -1
1482002138824 2 -2
1482002144169 6 1
1482002148943 5 1
1482002150284 12 1
1482002152883 1 -1
1482002154448 9 -1
1482002157550 4 -1
1482002159157 6 1
1482002162329 2 1
1482002167452 12 -1
1482002168726 5 -1
1482002178981 2 -1
1482002183182 6 -2
1482002187453 3 -2
1482002189684 5 1
1482002190466 12 1
1482002193457 8 2
1482002198892 R
1482002213853 3 2
1482002215295 2 1
1482002216372 4 1
1482002226892 8 -1
1482002230181 5 -1
1482002232105 12 -1
1482002237401 10 4
1482002241702 9 1
1482002244271 1 1
1482002245916 0 1
1482002246932 7 2
1482002249056 7 1
1482002252249 1 -2
1482002254356 8 -1
1482002256823 9 -2
1482002261128 10 -3
1482002262944 5 1
1482002264053 12 1
1482002265905 9 2
1482002268613 1 2
1482002270228 0 -1
