1482005671008 R
1482005671173 R
1482005671295 R
1482005671434 R
1482005676235 3 2
1482005676802 4 1
1482005678061 2 1
1482005683752 R
1482005691828 3 2
1482005694997 3 -2
1482005714592 0 1
1482005715151 7 1
1482005715676 8 -2
1482005717656 9 -1
1482005719137 4 -1
1482005719814 11 -1
1482005721009 12 -1
1482005722920 12 3
1482005724272 5 -1
1482005728822 3 1
1482005730633 2 1
1482005731497 5 1
1482005732912 R
1482005738821 3 1
1482005743130 2 -1
1482005744888 2 1
1482005745821 3 -1
1482005758532 3 2
1482005758940 2 1
1482005759734 2 -1
1482005760461 3 -2
1482005768650 8 -1
1482005770830 0 1
1482005771510 7 1
1482005772213 8 -1
1482005774942 9 -1
1482005775559 R
1482005793907 3 2
1482005796846 2 1
1482005799091 10 1
1482005799448 4 1
1482005801131 10 1
1482005801693 0 1
1482005802773 7 3
1482005803682 10 -1
1482005805071 8 -2
1482005805895 9 -1
1482005806845 0 -1
1482005807457 1 -1
1482005811853 5 -1
1482005812261 12 -1
1482005812866 10 3
1482005816483 2 -1
1482005817326 0 2
1482005820065 2 1
1482005821792 10 -3
1482005831560 7 -1
1482005833831 10 2
1482005834955 1 1
1482005835355 7 -1
1482005836716 10 -3
1482005842992 0 -1
1482005846854 R
1482005863282 8 1
1482005864229 8 -2
1482005867145 3 2
1482005867854 4 1
1482005868575 2 1
1482005871342 9 1
1482005872026 1 1
1482005873393 8 2
1482005873875 0 1
1482005874510 10 1
1482005875130 7 3
1482005875594 0 -1
1482005876279 1 -2
1482005876815 8 -3
1482005877978 9 -2
1482005878639 0 2
1482005879202 7 -1
1482005880485 7 1
1482005880867 1 1
1482005881404 7 -2
1482005881877 10 -1
1482005884015 0 -1
1482005884706 4 -2
1482005885909 2 -1
1482005887204 2 1
1482005890823 2 -1
1482005891459 2 1
1482005893815 10 1
1482005894348 7 2
1482005894735 0 -1
1482005895748 4 2
1482005896169 10 1
1482005897574 0 2
1482005898186 7 -2
1482005898659 10 -2
1482005904768 0 -1
1482005905511 9 1
1482005905972 8 3
1482005906780 7 -1
1482005911165 0 -1
1482005914436 8 -2
1482005915328 8 2
1482005915755 0 1
1482005916154 7 1
1482005916522 8 -3
1482005917216 9 -1
1482005918234 0 1
1482005920519 0 -1
1482005921039 9 1
1482005924809 4 -1
1482005925196 9 -1
1482005925598 4 -1
1482005926963 10 1
1482005933026 4 2
1482005933360 10 -1
1482005933881 2 -1
1482005934898 6 1
1482005935297 4 -2
1482005935916 6 1
1482005939127 4 1
1482005940230 U
1482005940502 U
1482005941075 U
1482005943098 9 2
1482005945009 9 -2
1482005946125 4 -2
1482005946738 6 -1
1482005947186 4 2
1482005947580 2 1
1482005948786 0 1
1482005949689 10 2
1482005951326 7 2
1482005952757 1 -1
1482005953286 0 -2
1482005953811 10 -1
1482005954723 4 -2
1482005960476 0 1
1482005961038 7 -1
1482005962792 1 1
1482005963214 7 -1
1482005963642 10 -1
1482005964443 2 -1
1482005965483 3 -2
1482005968796 3 2
1482005976613 11 -1
1482005977802 12 1
1482005978160 3 -2
1482005978736 12 1
1482005979515 5 -1
1482005982705 12 -3
1482005983460 11 1
1482005984994 5 1
1482005987847 11 -1
1482005988310 12 3
1482005990361 3 1
1482005990817 2 1
1482005995558 2 -1
1482005998956 2 1
1482005999729 10 1
